YEAR;NEIGH_BCN;POP_EMP;WOR_LOWSK;POP_PS_EDU;POP_Y_WSTU;POP_INC_LM;AVER_INC
2017;64;65;6.9; ; ;11.4;14871.1
2017;65;65.3;7.2; ; ;10.1;14432.9
2017;66;61.6;5.5; ; ;12.2;15252.3
2017;67;63.8;1.9; ; ;5.9;22242.2
2017;68;67.1;5.6; ; ;8.7;15415.9
2017;69;66.6;3.7; ; ;9.8;17323.1
2017;70;55.1;18.5; ; ;23.9;9605.6
2017;71;65.6;8.3; ; ;9.6;14038.8
2017;72;64.5;9.2; ; ;9.6;13422.5
2017;73;62.4;12; ; ;9.9;12120.2
2018;01;56.5;15;18.8;34.5;38.7;9313.3
2018;02;50.6;10;14.4;22.3;27.5;12077.6
2018;03;57.1;10.5;16.9;19.2;17.2;12014.8
2018;04;57.6;8.4;12;15.5;19.7;13380
2018;05;64.3;5.4;10.1;12.4;13.5;16938.1
2018;06;65.4;5.6;11.6;11.9;12.9;16649.8
2018;07;63.5;3;6.7;6.7;9.3;21661.1
2018;08;63.5;3.8;7.6;8.6;11.4;20151.5
2018;09;65.5;4.8;9.1;10.2;11.5;18594.7
2018;10;65.2;6.2;11.9;14.3;13.4;16448
2018;11;62.1;11.2;16.1;26.3;21.2;12011.2
2018;12;50.4;21.5;28.7;55.4;7.9;10139
2018;13;63.8;12.9;18;32;12.9;12470.8
2018;14;63.8;7.3;13.7;15.6;12.7;15145
2018;15;63.7;7.9;13.6;19.2;16.3;14403.8
2018;16;67.5;7.6;16.2;19;10;14604.8
2018;17;66;9.3;15.6;19.3;14;14400.7
2018;18;66.2;6.9;13.4;16.5;12.7;16054
2018;19;66.5;3.5;8.9;8;6.9;21145.6
2018;20;65.9;4;11.2;9.1;7.8;19159.9
2018;21;60.4;2.1;4.8;7.2;8.1;29034.6
2018;22;66.1;4.9;7.8;15.6;4.1;19775.4
2018;23;65.9;2.4;6.2;6.8;4.7;26227.3
2018;24;66.3;2;3.8;4.9;3.7;30533.9
2018;25;65.8;2.7;4.8;6.9;6;26528.2
2018;26;65.9;2.3;4.4;5.3;5.6;27042.1
2018;27;67.5;2.8;5.1;6.4;6.4;21715.2
2018;28;68.8;4.6;9.7;11.3;7.7;18882.6
2018;29;67.1;6.9;12.4;16.6;9.6;14804.2
2018;30;67.3;4.3;10.1;10.8;7.5;18325
2018;31;66.1;4.3;9.6;9.5;8.7;17157.5
2018;32;67.7;4.2;9.7;10.5;7.8;18190.8
2018;33;67.5;5.6;12.8;13.4;9.3;15872.7
2018;34;66.5;8.1;14.9;18.3;9.1;14516
2018;35;67.7;7.2;13.1;15.9;10.4;15354.9
2018;36;71.1;4.7;11.5;12.3;3.9;17859.2
2018;37;65.8;14.1;21.5;30.4;12.3;11393.5
2018;38;67.3;11;18.9;23.5;11;12535.4
2018;39;67.6;10.1;20.4;22.7;11.4;13518.8
